duration,duration
src_bytes,src_bytes
dst_bytes,dst_bytes
land,land
wrong_fragment,wrong_fragment
urgent,urgent
hot,hot
num_failed_logins,num_failed_logins
logged_in,logged_in
num_compromised,num_compromised
root_shell,root_shell
su_attempted,su_attempted
num_root,num_root
num_file_creations,num_file_creations
num_shells,num_shells
num_access_files,num_access_files
num_outbound_cmds,num_outbound_cmds
is_host_login,is_host_login
is_guest_login,is_guest_login
count,count
srv_count,srv_count
serror_rate,serror_rate
srv_serror_rate,srv_serror_rate
rerror_rate,rerror_rate
srv_rerror_rate,srv_rerror_rate
same_srv_rate,same_srv_rate
diff_srv_rate,diff_srv_rate
srv_diff_host_rate,srv_diff_host_rate
dst_host_count,dst_host_count
dst_host_srv_count,dst_host_srv_count
dst_host_same_srv_rate,dst_host_same_srv_rate
dst_host_diff_srv_rate,dst_host_diff_srv_rate
dst_host_same_src_port_rate,dst_host_same_src_port_rate
dst_host_srv_diff_host_rate,dst_host_srv_diff_host_rate
dst_host_serror_rate,dst_host_serror_rate
dst_host_srv_serror_rate,dst_host_srv_serror_rate
dst_host_rerror_rate,dst_host_rerror_rate
dst_host_srv_rerror_rate,dst_host_srv_rerror_rate
protocol_type_icmp,protocol_type_icmp
protocol_type_tcp,protocol_type_tcp
protocol_type_udp,protocol_type_udp
service_IRC,service_IRC
service_X11,service_X11
service_Z39_50,service_Z39_50
service_aol,service_aol
service_auth,service_auth
service_bgp,service_bgp
service_courier,service_courier
service_csnet_ns,service_csnet_ns
service_ctf,service_ctf
service_daytime,service_daytime
service_discard,service_discard
service_domain,service_domain
service_domain_u,service_domain_u
service_echo,service_echo
service_eco_i,service_eco_i
service_ecr_i,service_ecr_i
service_efs,service_efs
service_exec,service_exec
service_finger,service_finger
service_ftp,service_ftp
service_ftp_data,service_ftp_data
service_gopher,service_gopher
service_harvest,service_harvest
service_hostnames,service_hostnames
service_http,service_http
service_http_2784,service_http_2784
service_http_443,service_http_443
service_http_8001,service_http_8001
service_imap4,service_imap4
service_iso_tsap,service_iso_tsap
service_klogin,service_klogin
service_kshell,service_kshell
service_ldap,service_ldap
service_link,service_link
service_login,service_login
service_mtp,service_mtp
service_name,service_name
service_netbios_dgm,service_netbios_dgm
service_netbios_ns,service_netbios_ns
service_netbios_ssn,service_netbios_ssn
service_netstat,service_netstat
service_nnsp,service_nnsp
service_nntp,service_nntp
service_ntp_u,service_ntp_u
service_other,service_other
service_pm_dump,service_pm_dump
service_pop_2,service_pop_2
service_pop_3,service_pop_3
service_printer,service_printer
service_private,service_private
service_red_i,service_red_i
service_remote_job,service_remote_job
service_rje,service_rje
service_shell,service_shell
service_smtp,service_smtp
service_sql_net,service_sql_net
service_ssh,service_ssh
service_sunrpc,service_sunrpc
service_supdup,service_supdup
service_systat,service_systat
service_telnet,service_telnet
service_tftp_u,service_tftp_u
service_tim_i,service_tim_i
service_time,service_time
service_urh_i,service_urh_i
service_urp_i,service_urp_i
service_uucp,service_uucp
service_uucp_path,service_uucp_path
service_vmnet,service_vmnet
service_whois,service_whois
flag_OTH,flag_OTH
flag_REJ,flag_REJ
flag_RSTO,flag_RSTO
flag_RSTOS0,flag_RSTOS0
flag_RSTR,flag_RSTR
flag_S0,flag_S0
flag_S1,flag_S1
flag_S2,flag_S2
flag_S3,flag_S3
flag_SF,flag_SF
flag_SH,flag_SH
is_Attack,is_Attack
is_Normal,is_Normal
